Species,TII Score
Atta cephalotes,1731.232373
Atta colombica,1740.077324
Aphaenogaster miamiana,1805.983401
Aphaenogaster rudis,1873.322226
Apis cerana,1876.858381
Aphaenogaster ashmeadi,1895.622274
Bactrocera tryoni,1936.538117
Bombus terrestris,1957.45384
Bombus impatiens,1957.45384
Apis dorsata,1990.46504
Drosophila sechellia,2033.4621
Apis mellifera,2052.06377
Acromyrmex echinatior,2054.436273
Drosophila simulans,2056.881737
Melipona quadrifasciata,2066.12043
Bactrocera dorsalis,2085.027741
Lepidotrigona ventralis,2129.311523
Apis florea,2160.071997
Bactrocera latifrons,2173.814079
Aphaenogaster picea,2180.602858
Anopheles koliensis,2199.372801
Anopheles farauti,2201.206621
B.terrestris,2209.191459
Trachymyrmex septentrionalis,2216.459147
Aphaenogaster floridana,2267.556632
Anopheles coluzzii,2271.267284
Bactrocera oleae,2304.366894
Drosophila melanogaster,2321.169106
Eufriesea mexicana,2337.515958
Anopheles dirus,2414.473671
Anopheles gambiae,2424.820025
Anopheles arabiensis,2425.151107
Drosophila persimilis,2445.79578
Drosophila pseudoobscura,2445.79578
Trachymyrmex cornetzi,2464.763361
Zeugodacus cucurbitae,2486.468754
Aphaenogaster fulva,2492.770443
Anopheles cracens,2507.471985
Anopheles culicifacies,2529.843194
Lucilia cuprina,2536.305941
Temnothorax curvispinosus,2543.056571
Glossina fuscipes,2584.390766
Glossina palpalis,2584.390766
Acyrthosiphon pisum,2591.579035
Musca domestica,2593.782499
Stomoxys calcitrans,2594.991569
Glossina pallidipes,2609.595813
Cyphomyrmex costatus,2616.173437
Myzus persicae,2616.526158
Vollenhovia emeryi,2636.706409
Anopheles stephensi,2637.969746
Diachasma alloeum,2638.518752
Fopius arisanus,2638.518752
Glossina austeni,2643.602337
Paykullia maculata,2644.120533
Megastigmus stigmatizans,2650.59532
Megastigmus dorsalis,2650.836574
Anopheles maculatus,2653.669761
Trabutina mannipara,2655.905083
Paracoccus marginatus,2660.380675
Anopheles funestus,2680.248258
Anopheles minimus,2704.346299
Eupelmus annulatus,2754.879791
Helicoverpa zea,2755.446097
Trachymyrmex zeteki,2756.252422
Helicoverpa armigera,2765.270609
Eupelmus urozonus,2776.901758
Papilio machaon,2782.681599
Phormia regina,2785.426083
Papilio xuthus,2787.686107
Anopheles quadriannulatus,2815.006788
Wasmannia auropunctata,2826.959362
Aedes albopictus,2845.057418
Aedes aegypti,2845.057418
Glossina morsitans,2862.232068
Anopheles darlingi,2864.837752
Anopheles aquasalis,2865.389029
Drosophila takahashii,2865.410775
Drosophila miranda,2866.234366
Cotesia vestalis,2866.375027
Microplitis demolitor,2876.81921
Habropoda laboriosa,2886.180818
Ceratina calcarata,2904.39397
Melanaphis sacchari,2911.565874
Ceratitis capitata,2914.780363
Leptopilina boulardi,2925.416528
Leptopilina clavipes,2925.416528
Drosophila bipectinata,2976.731585
Drosophila ananassae,2987.14377
Pseudococcus longispinus,2999.112909
Chironomus riparius,3003.664648
Lasioglossum albipes,3015.81444
Dufourea novaeangliae,3015.81444
Chironomus tentans,3075.44127
Rhagoletis zephyria,3079.374466
Solenopsis invicta,3102.502961
Papilio polytes,3112.016525
Nasonia longicornis,3120.450404
Spodoptera litura,3124.868228
Spodoptera frugiperda,3128.99833
Drosophila montana,3130.837748
Cecidostiba fungosa,3131.943971
Drosophila virilis,3139.289183
Drosophila arizonae,3149.824057
Drosophila mojavensis,3149.824057
Helicoverpa punctigera,3182.610612
Drosophila obscura,3192.427885
Cecidostiba semifascia,3193.433328
Macrocentrus cingulum,3218.050391
Drosophila subobscura,3240.287459
Drosophila novamexicana,3243.308814
Plodia interpunctella,3246.954539
Drosophila yakuba,3263.271228
Ormyrus nitidulus,3270.928873
Ferrisia virgata,3278.026766
Drosophila biarmipes,3278.453466
Polistes canadensis,3297.868427
Polistes dominula,3297.868427
Leptinotarsa decemlineata,3305.437031
Nasonia giraulti,3310.740604
Ormyrus pomaceus,3317.168896
Drosophila suzukii,3326.258894
Dinoponera quadriceps,3327.355321
Diabrotica virgifera,3335.393813
Megachile rotundata,3335.408629
Culex quinquefasciatus,3338.029082
Amyelois transitella,3339.924441
Harpegnathos saltator,3348.34617
Schizaphis graminum,3358.699371
Zootermopsis nevadensis,3369.736178
Cryptotermes secundus,3369.736178
Monomorium pharaonis,3370.921549
Glossina brevipalpis,3385.310118
Camponotus floridanus,3391.13013
Synergus umbraculus,3458.977577
Belgica antarctica,3465.640314
Anoplophora glabripennis,3468.095486
Copidosoma floridanum,3479.166635
Pseudomyrmex gracilis,3493.993529
Rhodnius prolixus,3507.468218
Dendroctonus ponderosae,3512.885591
Linepithema humile,3513.301616
Cimex lectularius,3517.147023
Ooceraea biroi,3554.745768
Aethina tumida,3555.667773
Sitophilus oryzae,3587.931566
Sipha flava,3619.798168
Plutella xylostella,3625.895462
Papilio glaucus,3630.112621
Trichogramma pretiosum,3646.094353
Pogonomyrmex barbatus,3649.476605
Maconellicoccus hirsutus,3664.129399
Drosophila eugracilis,3726.258061
Drosophila ficusphila,3733.123349
Drosophila grimshawi,3783.895799
Agrilus planipennis,3800.2969
Lasius niger,3828.010842
Nasonia vitripennis,3881.046119
Drosophila kikkawai,3900.751916
Aleochara bilineata,3904.618499
Galleria mellonella,3910.42985
Vanessa tameamea,3921.160329
Drosophila serrata,3943.79596
Blattella germanica,3946.810131
Oncopeltus fasciatus,3962.367339
Athalia rosae,3972.626119
Neodiprion lecontei,3972.626119
Teleopsis dalmanni,3983.606511
Trichoplusia ni,4032.452252
Coboldia fuscipes,4050.792979
Nicrophorus vespilloides,4053.173422
Zaprionus indianus,4079.375497
Drosophila hydei,4082.925087
Heliconius melpomene,4104.407829
Anopheles epiroticus,4126.224351
Clunio marinus,4140.614117
Hypothenemus hampei,4204.807079
Tribolium castaneum,4212.187766
Calopteryx splendens,4216.857043
Halyomorpha halys,4225.8789
Orussus abietinus,4227.495172
Ladona fulva,4279.222475
Drosophila nasuta,4281.600865
Danaus plexippus,4286.123396
Mayetiola destructor,4295.527782
Drosophila busckii,4304.66992
Gerris buenoi,4305.965674
Operophtera brumata,4321.044308
Anopheles atroparvus,4329.418135
Achalarus lyciades,4336.523907
Drosophila willistoni,4346.440781
Bombyx mori,4418.212226
Cephus cinctus,4474.145346
Anopheles sinensis,4507.793393
Drosophila erecta,4511.060167
Pogonus chalceus,4559.267969
Bicyclus anynana,4568.26158
Scaptodrosophila lebanonensis,4591.203642
Manduca sexta,4610.27303
Drosophila elegans,4648.955411
Phoebis sennae,4676.258039
Ephemera danica,4679.890291
Ceratosolen solmsi,4681.502904
Timema cristinae,4774.354675
Frankliniella occidentalis,5164.894518
Pieris rapae,5241.620647
Pediculus humanus,5339.471394
Antheraea yamamai,5411.04365
Bemisia tabaci,5436.72787
Lerema accius,5541.665075
Clitarchus hookeri,5650.56944
Oryctes borbonicus,5723.593926
Chaoborus trivitattus,5759.262751
Onthophagus taurus,5982.312654
Calycopis cecrops,6284.528657
Drosophila americana,6418.122608
Proctacanthus coquilletti,6651.093738
Nilaparvata lugens,6694.2429
Catajapyx aquilonaris,6939.272545
Goniozus legneri,6997.668548
Culicoides sonorensis,7281.389317